name,threshold,best.model.step,interpolation.last,extrapolation.last,interpolation.step.solved,extrapolation.step.solved,sparse.error.max,solved,model,operation,seed,size
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s28_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1239963.625,86739992,NA,NA,0,FALSE,NAU,$z^2$,28,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s29_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1239211.5,86833304,NA,NA,0,FALSE,NAU,$z^2$,29,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s3_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,2,1238220,86385408,NA,NA,0,FALSE,NAU,$z^2$,3,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s30_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,2,1240488.5,86277856,NA,NA,0,FALSE,NAU,$z^2$,30,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s31_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,2,1238207,86823088,NA,NA,0,FALSE,NAU,$z^2$,31,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s32_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,2,1239282.25,86645864,NA,NA,0,FALSE,NAU,$z^2$,32,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s33_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,2,1237809.5,86856024,NA,NA,0,FALSE,NAU,$z^2$,33,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s34_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,2,1240291,86251256,NA,NA,0,FALSE,NAU,$z^2$,34,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s35_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1238574.75,86771480,NA,NA,0,FALSE,NAU,$z^2$,35,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s36_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,2,1237190.125,86672064,NA,NA,0,FALSE,NAU,$z^2$,36,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s37_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1239425.5,86747376,NA,NA,0,FALSE,NAU,$z^2$,37,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s38_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1240291,86251256,NA,NA,0,FALSE,NAU,$z^2$,38,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s39_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1238574.75,86771480,NA,NA,0,FALSE,NAU,$z^2$,39,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s4_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1241056.375,86773464,NA,NA,0,FALSE,NAU,$z^2$,4,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s40_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,2,1236727.75,86649744,NA,NA,0,FALSE,NAU,$z^2$,40,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s41_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1240215.375,86677352,NA,NA,0,FALSE,NAU,$z^2$,41,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s42_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,2,1239964.5,86313464,NA,NA,0,FALSE,NAU,$z^2$,42,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s43_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,2,1238797.75,86618240,NA,NA,0,FALSE,NAU,$z^2$,43,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s44_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1237809.5,86856024,NA,NA,0,FALSE,NAU,$z^2$,44,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s45_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1238667.125,86718072,NA,NA,0,FALSE,NAU,$z^2$,45,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s46_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,2,1240933.875,86747240,NA,NA,0,FALSE,NAU,$z^2$,46,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s47_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1238187.875,86694160,NA,NA,0,FALSE,NAU,$z^2$,47,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s48_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1240215.375,86677352,NA,NA,0,FALSE,NAU,$z^2$,48,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s49_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1238220,86385408,NA,NA,0,FALSE,NAU,$z^2$,49,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s5_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1240632.875,86327032,NA,NA,0,FALSE,NAU,$z^2$,5,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s50_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1237960,86584352,NA,NA,0,FALSE,NAU,$z^2$,50,5001
reregualizedlinearnac_op-squared_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s51_h2_z2_lr-adam-0.00100-0.0,0.159473806098301,3,1241552.5,86839768,NA,NA,0,FALSE,NAU,$z^2$,51,5001
